"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(53, 38)","(53, 24)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 16)","(52, 43)","(68, 51)","(91, 46)","(90, 21)","(74, 14)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 21)","(74, 14)",
"(52, 16)","(51, 42)","(68, 51)","(91, 46)","(90, 21)","(74, 14)",
"(52, 16)","(51, 42)","(68, 51)","(93, 45)","(90, 22)","(74, 14)",
"(52, 16)","(51, 42)","(68, 51)","(93, 45)","(90, 22)","(74, 14)",
