Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(42, 34)","(58, 28)","(78, 38)","(77, 54)","(59, 59)","(41, 48)",
"(39, 32)","(41, 54)","(55, 61)","(81, 55)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:26,163s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,164s,1,0,0,0.0
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:26,165s,1,0,0,0.0
"(63, 24)","(39, 32)","(40, 53)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:26,166s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,167s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(81, 55)","(78, 32)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:26,168s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(79, 58)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:26,169s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,170s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,171s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,172s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(81, 55)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,173s,1,0,0,0.0
"(40, 30)","(42, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,174s,1,0,0,0.0
"(40, 30)","(42, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,175s,1,0,0,0.0
"(40, 30)","(42, 54)","(55, 61)","(80, 57)","(78, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:26,177s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:26,178s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
2025:01:23_16:23,2025:01:23_16:26,179s,1,0,0,0.0
